"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Oct 24, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Oct 21, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Oct 20, 2016","220.00","220.00","220.00","220.00","-","0.92%"
"Oct 19, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Oct 18, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Oct 17, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Oct 14, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Oct 13, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Oct 12, 2016","218.00","218.00","218.00","218.00","-","0.00%"
"Oct 11, 2016","218.00","218.00","218.00","218.00","-","-0.46%"
"Oct 10, 2016","219.00","219.00","219.00","219.00","0.03K","-0.45%"
"Oct 07, 2016","220.00","220.00","220.00","220.00","0.05K","4.27%"
"Oct 06, 2016","211.00","211.00","211.00","211.00","0.04K","1.44%"
"Oct 05, 2016","208.00","208.00","208.00","208.00","-","0.00%"
"Oct 04, 2016","208.00","208.00","208.00","208.00","0.01K","1.46%"
"Oct 03, 2016","205.00","205.00","205.00","205.00","-","-5.53%"
"Sep 29, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 28, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 27, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 26, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 23, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 22, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 21, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Sep 20, 2016","217.00","217.00","217.00","217.00","0.06K","-1.36%"
"Sep 19, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 16, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 15, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 14, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 13, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 12, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 09, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 08, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 07, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 06, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 05, 2016","220.00","220.00","220.00","220.00","-","0.00%"
"Sep 02, 2016","220.00","220.00","220.00","220.00","-","1.38%"
