"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 04, 2010","6,371.00","6,371.00","6,371.00","6,371.00","-","-3.07%"
"Feb 03, 2010","6,572.50","6,572.50","6,572.50","6,572.50","-","-3.35%"
"Feb 02, 2010","6,800.00","6,800.00","6,800.00","6,800.00","-","0.37%"
"Feb 01, 2010","6,774.75","6,774.75","6,774.75","6,774.75","-","0.66%"
"Jan 29, 2010","6,730.25","6,730.25","6,730.25","6,730.25","-","-2.23%"
"Jan 28, 2010","6,883.50","6,883.50","6,883.50","6,883.50","-","-4.59%"
"Jan 27, 2010","7,214.75","7,214.75","7,214.75","7,214.75","-","-2.05%"
"Jan 26, 2010","7,366.00","7,366.00","7,366.00","7,366.00","-","-1.13%"
"Jan 25, 2010","7,450.25","7,450.25","7,450.25","7,450.25","-","1.01%"
"Jan 22, 2010","7,375.75","7,375.75","7,375.75","7,375.75","-","1.60%"
"Jan 21, 2010","7,259.25","7,259.25","7,259.25","7,259.25","-","-2.88%"
"Jan 18, 2010","7,474.25","7,474.25","7,474.25","7,474.25","-","0.96%"
"Jan 15, 2010","7,403.25","7,403.25","7,403.25","7,403.25","-","-0.84%"
"Jan 14, 2010","7,466.25","7,466.25","7,466.25","7,466.25","-","0.06%"
"Jan 13, 2010","7,462.00","7,462.00","7,462.00","7,462.00","-","0.42%"
"Jan 12, 2010","7,430.50","7,430.50","7,430.50","7,430.50","-","-1.48%"
"Jan 11, 2010","7,542.00","7,542.00","7,542.00","7,542.00","-","1.41%"
"Jan 08, 2010","7,437.50","7,437.50","7,437.50","7,437.50","-","-0.98%"
"Jan 07, 2010","7,511.25","7,511.25","7,511.25","7,511.25","-","-1.66%"
"Jan 06, 2010","7,638.00","7,638.00","7,638.00","7,638.00","-","2.40%"
"Jan 05, 2010","7,458.75","7,458.75","7,458.75","7,458.75","-","-0.22%"
"Jan 04, 2010","7,475.25","7,475.25","7,475.25","7,475.25","-","1.68%"
"Dec 31, 2009","7,351.50","7,351.50","7,351.50","7,351.50","-","0.63%"
"Dec 30, 2009","7,305.50","7,305.50","7,305.50","7,305.50","-","0.74%"
"Dec 29, 2009","7,251.75","7,251.75","7,251.75","7,251.75","-","2.85%"
"Dec 24, 2009","7,051.00","7,051.00","7,051.00","7,051.00","-","1.01%"
"Dec 23, 2009","6,980.25","6,980.25","6,980.25","6,980.25","-","1.76%"
"Dec 22, 2009","6,859.50","6,859.50","6,859.50","6,859.50","-","-0.77%"
"Dec 21, 2009","6,912.75","6,912.75","6,912.75","6,912.75","-","1.33%"
"Dec 18, 2009","6,822.00","6,822.00","6,822.00","6,822.00","-","-0.38%"
"Dec 17, 2009","6,848.00","6,848.00","6,848.00","6,848.00","-","-0.35%"
"Dec 14, 2009","6,872.00","6,872.00","6,872.00","6,872.00","-","1.11%"
"Dec 11, 2009","6,796.50","6,796.50","6,796.50","6,796.50","-","0.37%"
"Dec 10, 2009","6,771.50","6,771.50","6,771.50","6,771.50","-","-1.97%"
"Dec 09, 2009","6,907.50","6,907.50","6,907.50","6,907.50","-","-0.45%"
"Dec 08, 2009","6,939.00","6,939.00","6,939.00","6,939.00","-","-0.34%"
"Dec 07, 2009","6,962.50","6,962.50","6,962.50","6,962.50","-","-0.64%"
"Dec 04, 2009","7,007.50","7,007.50","7,007.50","7,007.50","-","-0.60%"
"Dec 03, 2009","7,049.75","7,049.75","7,049.75","7,049.75","-","-0.66%"
"Dec 02, 2009","7,096.25","7,096.25","7,096.25","7,096.25","-","0.66%"
"Dec 01, 2009","7,050.00","7,050.00","7,050.00","7,050.00","-","2.10%"
"Nov 30, 2009","6,904.75","6,904.75","6,904.75","6,904.75","-","1.11%"
"Nov 27, 2009","6,829.00","6,829.00","6,829.00","6,829.00","-","0.50%"
"Nov 26, 2009","6,795.00","6,795.00","6,795.00","6,795.00","-","-2.37%"
"Nov 25, 2009","6,959.75","6,959.75","6,959.75","6,959.75","-","1.68%"
"Nov 24, 2009","6,845.00","6,845.00","6,845.00","6,845.00","-","-1.14%"
"Nov 23, 2009","6,924.00","6,924.00","6,924.00","6,924.00","-","1.45%"
"Nov 20, 2009","6,824.75","6,824.75","6,824.75","6,824.75","-","0.74%"
"Nov 19, 2009","6,774.75","6,774.75","6,774.75","6,774.75","-","-0.82%"
"Nov 16, 2009","6,830.75","6,830.75","6,830.75","6,830.75","-","5.07%"
"Nov 13, 2009","6,501.00","6,501.00","6,501.00","6,501.00","-","0.30%"
"Nov 12, 2009","6,481.25","6,481.25","6,481.25","6,481.25","-","-0.57%"
"Nov 11, 2009","6,518.50","6,518.50","6,518.50","6,518.50","-","0.14%"
"Nov 10, 2009","6,509.50","6,509.50","6,509.50","6,509.50","-","-0.16%"
"Nov 09, 2009","6,519.75","6,519.75","6,519.75","6,519.75","-","0.72%"
"Nov 06, 2009","6,473.25","6,473.25","6,473.25","6,473.25","-","-0.64%"
"Nov 05, 2009","6,514.75","6,514.75","6,514.75","6,514.75","-","-0.65%"
"Nov 04, 2009","6,557.50","6,557.50","6,557.50","6,557.50","-","1.79%"
"Nov 03, 2009","6,442.25","6,442.25","6,442.25","6,442.25","-","-1.46%"
"Nov 02, 2009","6,537.50","6,537.50","6,537.50","6,537.50","-","1.15%"
"Oct 30, 2009","6,463.25","6,463.25","6,463.25","6,463.25","-","-2.78%"
"Oct 29, 2009","6,648.00","6,648.00","6,648.00","6,648.00","-","3.66%"
"Oct 28, 2009","6,413.50","6,413.50","6,413.50","6,413.50","-","-2.29%"
"Oct 27, 2009","6,564.00","6,564.00","6,564.00","6,564.00","-","-0.47%"
"Oct 26, 2009","6,595.00","6,595.00","6,595.00","6,595.00","-","-0.61%"
"Oct 23, 2009","6,635.25","6,635.25","6,635.25","6,635.25","-","0.89%"
"Oct 22, 2009","6,576.50","6,576.50","6,576.50","6,576.50","-","1.91%"
"Oct 19, 2009","6,453.00","6,453.00","6,453.00","6,453.00","-","3.90%"
"Oct 16, 2009","6,210.50","6,210.50","6,210.50","6,210.50","-","-0.95%"
"Oct 15, 2009","6,269.75","6,269.75","6,269.75","6,269.75","-","1.08%"
"Oct 14, 2009","6,203.00","6,203.00","6,203.00","6,203.00","-","1.31%"
"Oct 13, 2009","6,122.50","6,122.50","6,122.50","6,122.50","-","-2.24%"
"Oct 12, 2009","6,263.00","6,263.00","6,263.00","6,263.00","-","0.70%"
"Oct 09, 2009","6,219.50","6,219.50","6,219.50","6,219.50","-","-1.52%"
"Oct 08, 2009","6,315.25","6,315.25","6,315.25","6,315.25","-","3.89%"
"Oct 07, 2009","6,079.00","6,079.00","6,079.00","6,079.00","-","-0.36%"
"Oct 06, 2009","6,101.00","6,101.00","6,101.00","6,101.00","-","3.31%"
"Oct 05, 2009","5,905.75","5,905.75","5,905.75","5,905.75","-","0.68%"
"Oct 02, 2009","5,865.75","5,865.75","5,865.75","5,865.75","-","-1.82%"
"Oct 01, 2009","5,974.50","5,974.50","5,974.50","5,974.50","-","-2.91%"
"Sep 30, 2009","6,153.50","6,153.50","6,153.50","6,153.50","-","3.09%"
"Sep 29, 2009","5,969.00","5,969.00","5,969.00","5,969.00","-","-0.57%"
"Sep 28, 2009","6,003.00","6,003.00","6,003.00","6,003.00","-","0.33%"
"Sep 25, 2009","5,983.00","5,983.00","5,983.00","5,983.00","-","0.51%"
"Sep 24, 2009","5,952.50","5,952.50","5,952.50","5,952.50","-","-2.72%"
"Sep 23, 2009","6,118.75","6,118.75","6,118.75","6,118.75","-","-2.27%"
"Sep 22, 2009","6,261.00","6,261.00","6,261.00","6,261.00","-","1.32%"
